360 180
1.2750E+02 8.9500E+01 -4.20376E+03
1.2850E+02 8.9500E+01 -4.20508E+03
1.2950E+02 8.9500E+01 -4.20508E+03
1.3050E+02 8.9500E+01 -4.20513E+03
1.3150E+02 8.9500E+01 -4.20436E+03
1.3250E+02 8.9500E+01 -4.20304E+03
1.3350E+02 8.9500E+01 -4.20260E+03
1.3450E+02 8.9500E+01 -4.20385E+03
1.3550E+02 8.9500E+01 -4.20855E+03
1.3650E+02 8.9500E+01 -4.21326E+03
1.3750E+02 8.9500E+01 -4.22315E+03
1.3850E+02 8.9500E+01 -4.22734E+03
1.3950E+02 8.9500E+01 -4.23174E+03
1.4050E+02 8.9500E+01 -4.23495E+03
1.4150E+02 8.9500E+01 -4.23572E+03
1.4250E+02 8.9500E+01 -4.22835E+03
1.4350E+02 8.9500E+01 -4.22379E+03
1.4450E+02 8.9500E+01 -4.21106E+03
1.4550E+02 8.9500E+01 -4.20490E+03
1.4650E+02 8.9500E+01 -4.19941E+03
1.4750E+02 8.9500E+01 -4.19308E+03
1.4850E+02 8.9500E+01 -4.19093E+03
1.4950E+02 8.9500E+01 -4.19124E+03
1.5050E+02 8.9500E+01 -4.19047E+03
1.5150E+02 8.9500E+01 -4.18776E+03
1.5250E+02 8.9500E+01 -4.19247E+03
1.5350E+02 8.9500E+01 -4.20056E+03
1.5450E+02 8.9500E+01 -4.23144E+03
1.5550E+02 8.9500E+01 -4.25375E+03
1.5650E+02 8.9500E+01 -4.25434E+03
1.5750E+02 8.9500E+01 -4.24831E+03
1.5850E+02 8.9500E+01 -4.24670E+03
1.5950E+02 8.9500E+01 -4.24537E+03
1.6050E+02 8.9500E+01 -4.24510E+03
1.6150E+02 8.9500E+01 -4.24183E+03
1.6250E+02 8.9500E+01 -4.23870E+03
1.6350E+02 8.9500E+01 -4.22995E+03
1.6450E+02 8.9500E+01 -4.22646E+03
1.6550E+02 8.9500E+01 -4.22171E+03
1.6650E+02 8.9500E+01 -4.20965E+03
1.6750E+02 8.9500E+01 -4.20424E+03
1.6850E+02 8.9500E+01 -4.19412E+03
1.6950E+02 8.9500E+01 -4.19499E+03
1.7050E+02 8.9500E+01 -4.19493E+03
1.7150E+02 8.9500E+01 -4.19845E+03
1.7250E+02 8.9500E+01 -4.20124E+03
1.7350E+02 8.9500E+01 -4.18609E+03
1.7450E+02 8.9500E+01 -4.17668E+03
1.7550E+02 8.9500E+01 -4.16259E+03
1.7650E+02 8.9500E+01 -4.16274E+03
1.7750E+02 8.9500E+01 -4.17191E+03
1.7850E+02 8.9500E+01 -4.18702E+03
1.7950E+02 8.9500E+01 -4.19344E+03
1.8050E+02 8.9500E+01 -4.14234E+03
1.8150E+02 8.9500E+01 -4.08100E+03
1.8250E+02 8.9500E+01 -3.90381E+03
1.8350E+02 8.9500E+01 -3.79810E+03
1.8450E+02 8.9500E+01 -3.76013E+03
1.8550E+02 8.9500E+01 -3.83094E+03
1.8650E+02 8.9500E+01 -3.86561E+03
1.8750E+02 8.9500E+01 -3.94537E+03
1.8850E+02 8.9500E+01 -3.97595E+03
1.8950E+02 8.9500E+01 -4.04475E+03
1.9050E+02 8.9500E+01 -4.04603E+03
1.9150E+02 8.9500E+01 -4.05187E+03
1.9250E+02 8.9500E+01 -4.06515E+03
1.9350E+02 8.9500E+01 -4.07467E+03
1.9450E+02 8.9500E+01 -4.09284E+03
1.9550E+02 8.9500E+01 -4.10233E+03
1.9650E+02 8.9500E+01 -4.11176E+03
1.9750E+02 8.9500E+01 -4.12705E+03
1.9850E+02 8.9500E+01 -4.12423E+03
1.9950E+02 8.9500E+01 -4.10203E+03
2.0050E+02 8.9500E+01 -4.07797E+03
2.0150E+02 8.9500E+01 -4.03441E+03
2.0250E+02 8.9500E+01 -4.02330E+03
2.0350E+02 8.9500E+01 -4.01290E+03
2.0450E+02 8.9500E+01 -4.03280E+03
2.0550E+02 8.9500E+01 -4.04893E+03
2.0650E+02 8.9500E+01 -4.01367E+03
2.0750E+02 8.9500E+01 -3.97967E+03
2.0850E+02 8.9500E+01 -3.90564E+03
2.0950E+02 8.9500E+01 -3.87538E+03
2.1050E+02 8.9500E+01 -3.85719E+03
2.1150E+02 8.9500E+01 -3.85735E+03
2.1250E+02 8.9500E+01 -3.86236E+03
2.1350E+02 8.9500E+01 -3.85198E+03
2.1450E+02 8.9500E+01 -3.81824E+03
2.1550E+02 8.9500E+01 -3.76478E+03
2.1650E+02 8.9500E+01 -3.52754E+03
2.1750E+02 8.9500E+01 -3.39774E+03
2.1850E+02 8.9500E+01 -3.11798E+03
2.1950E+02 8.9500E+01 -3.02665E+03
2.2050E+02 8.9500E+01 -3.07940E+03
2.2150E+02 8.9500E+01 -3.24892E+03
2.2250E+02 8.9500E+01 -3.41656E+03
2.2350E+02 8.9500E+01 -3.60480E+03
2.2450E+02 8.9500E+01 -3.58458E+03
2.2550E+02 8.9500E+01 -3.33036E+03
2.2650E+02 8.9500E+01 -3.18530E+03
2.2750E+02 8.9500E+01 -2.79840E+03
2.2850E+02 8.9500E+01 -2.68260E+03
2.2950E+02 8.9500E+01 -2.58826E+03
2.3050E+02 8.9500E+01 -2.52091E+03
2.3150E+02 8.9500E+01 -2.52272E+03
2.3250E+02 8.9500E+01 -2.57791E+03
2.3350E+02 8.9500E+01 -2.59700E+03
2.3450E+02 8.9500E+01 -2.59514E+03
2.3550E+02 8.9500E+01 -2.60443E+03
2.3650E+02 8.9500E+01 -2.61611E+03
