122
0	0
1	8
2	16
3	24
4	32
5	40
6	48
7	56
8	64
9	72
10	80
11	88
12	96
13	104
14	112
15	120
16	128
17	136
18	144
19	152
20	160
21	168
22	176
23	184
24	192
25	200
26	208
27	216
28	224
29	232
30	240
31	248
32	256
33	264
34	272
35	280
36	288
37	296
38	304
39	312
40	320
41	328
42	336
43	344
44	352
45	360
46	364
47	368
48	372
49	376
50	380
51	384
52	392
53	400
54	408
55	416
56	424
57	428
58	432
59	436
60	440
61	444
62	448
63	452
64	456
65	460
66	464
67	468
68	472
69	474
70	476
71	478
72	480
73	482
74	484
75	486
76	488
77	490
78	492
79	494
80	496
81	498
82	500
83	502
84	504
85	506
86	508
87	510
88	512
89	514
90	516
91	518
92	520
93	522
94	524
95	526
96	528
97	532
98	536
99	540
100	544
101	548
102	552
103	556
104	558
105	560
106	562
107	564
108	566
109	568
110	570
111	572
112	574
113	576
114	578
115	580
116	582
117	584
118	586
119	588
120	590
121	592
