122
0	0
1	16
2	32
3	48
4	64
5	80
6	96
7	112
8	128
9	144
10	160
11	176
12	192
13	208
14	224
15	240
16	256
17	272
18	288
19	304
20	320
21	336
22	352
23	368
24	384
25	400
26	416
27	432
28	448
29	464
30	480
31	496
32	512
33	528
34	544
35	560
36	576
37	592
38	608
39	624
40	640
41	656
42	672
43	688
44	704
45	720
46	728
47	736
48	744
49	752
50	760
51	768
52	776
53	784
54	792
55	800
56	808
57	812
58	816
59	820
60	824
61	828
62	832
63	836
64	840
65	844
66	848
67	852
68	856
69	858
70	860
71	862
72	864
73	866
74	868
75	870
76	872
77	874
78	876
79	878
80	880
81	882
82	884
83	886
84	888
85	890
86	892
87	894
88	896
89	898
90	900
91	902
92	904
93	906
94	908
95	910
96	912
97	916
98	920
99	924
100	928
101	932
102	936
103	940
104	942
105	944
106	946
107	948
108	950
109	952
110	954
111	956
112	958
113	960
114	962
115	964
116	966
117	968
118	970
119	972
120	974
121	976
