epoch: 0, ocean area: 0.714091
epoch: 1, ocean area: 0.709970
epoch: 2, ocean area: 0.701652
epoch: 3, ocean area: 0.696908
epoch: 4, ocean area: 0.690586
epoch: 5, ocean area: 0.683179
epoch: 6, ocean area: 0.679796
epoch: 7, ocean area: 0.679595
epoch: 8, ocean area: 0.680823
epoch: 9, ocean area: 0.682041
epoch: 10, ocean area: 0.683849
epoch: 11, ocean area: 0.686327
epoch: 12, ocean area: 0.685131
epoch: 13, ocean area: 0.683555
epoch: 14, ocean area: 0.682015
epoch: 15, ocean area: 0.679497
epoch: 16, ocean area: 0.678712
epoch: 17, ocean area: 0.678557
epoch: 18, ocean area: 0.678243
epoch: 19, ocean area: 0.678875
epoch: 20, ocean area: 0.682778
epoch: 21, ocean area: 0.686414
epoch: 22, ocean area: 0.684625
epoch: 23, ocean area: 0.681900
epoch: 24, ocean area: 0.679235
epoch: 25, ocean area: 0.676199
epoch: 26, ocean area: 0.671543
epoch: 27, ocean area: 0.666752
epoch: 28, ocean area: 0.664921
epoch: 29, ocean area: 0.664599
epoch: 30, ocean area: 0.665176
epoch: 31, ocean area: 0.666540
epoch: 32, ocean area: 0.667985
epoch: 33, ocean area: 0.668917
epoch: 34, ocean area: 0.669254
epoch: 35, ocean area: 0.668903
epoch: 36, ocean area: 0.667936
epoch: 37, ocean area: 0.667439
epoch: 38, ocean area: 0.666947
epoch: 39, ocean area: 0.666518
epoch: 40, ocean area: 0.665784
epoch: 41, ocean area: 0.665331
epoch: 42, ocean area: 0.664789
epoch: 43, ocean area: 0.664678
epoch: 44, ocean area: 0.665320
epoch: 45, ocean area: 0.665837
epoch: 46, ocean area: 0.666296
epoch: 47, ocean area: 0.666481
epoch: 48, ocean area: 0.663812
epoch: 49, ocean area: 0.660026
epoch: 50, ocean area: 0.657047
epoch: 51, ocean area: 0.655605
epoch: 52, ocean area: 0.656242
epoch: 53, ocean area: 0.656563
epoch: 54, ocean area: 0.656719
epoch: 55, ocean area: 0.657098
epoch: 56, ocean area: 0.657442
epoch: 57, ocean area: 0.657591
epoch: 58, ocean area: 0.657735
epoch: 59, ocean area: 0.657909
epoch: 60, ocean area: 0.658239
epoch: 61, ocean area: 0.658345
epoch: 62, ocean area: 0.659028
epoch: 63, ocean area: 0.659386
epoch: 64, ocean area: 0.660064
epoch: 65, ocean area: 0.660381
epoch: 66, ocean area: 0.660961
epoch: 67, ocean area: 0.661855
epoch: 68, ocean area: 0.663188
epoch: 69, ocean area: 0.663712
epoch: 70, ocean area: 0.664118
epoch: 71, ocean area: 0.667134
epoch: 72, ocean area: 0.671245
epoch: 73, ocean area: 0.672199
epoch: 74, ocean area: 0.673421
epoch: 75, ocean area: 0.674251
epoch: 76, ocean area: 0.675321
epoch: 77, ocean area: 0.676369
epoch: 78, ocean area: 0.677747
epoch: 79, ocean area: 0.678646
epoch: 80, ocean area: 0.679813
epoch: 81, ocean area: 0.681101
epoch: 82, ocean area: 0.682566
epoch: 83, ocean area: 0.685702
epoch: 84, ocean area: 0.689041
epoch: 85, ocean area: 0.690126
epoch: 86, ocean area: 0.691338
epoch: 87, ocean area: 0.692758
epoch: 88, ocean area: 0.694377
epoch: 89, ocean area: 0.695750
epoch: 90, ocean area: 0.697154
epoch: 91, ocean area: 0.698378
epoch: 92, ocean area: 0.699777
epoch: 93, ocean area: 0.700953
epoch: 94, ocean area: 0.702696
epoch: 95, ocean area: 0.703966
epoch: 96, ocean area: 0.705405
epoch: 97, ocean area: 0.708504
epoch: 98, ocean area: 0.710099
epoch: 99, ocean area: 0.711399
epoch: 100, ocean area: 0.711665
epoch: 101, ocean area: 0.711779
epoch: 102, ocean area: 0.711883
epoch: 103, ocean area: 0.711941
epoch: 104, ocean area: 0.711971
epoch: 105, ocean area: 0.712049
epoch: 106, ocean area: 0.712049
epoch: 107, ocean area: 0.712049
epoch: 108, ocean area: 0.712049
epoch: 109, ocean area: 0.712056
epoch: 110, ocean area: 0.712064
epoch: 111, ocean area: 0.712116
epoch: 112, ocean area: 0.712091
epoch: 113, ocean area: 0.712090
epoch: 114, ocean area: 0.712090
epoch: 115, ocean area: 0.712090
epoch: 116, ocean area: 0.712090
epoch: 117, ocean area: 0.712090
epoch: 118, ocean area: 0.712090
epoch: 119, ocean area: 0.712090
epoch: 120, ocean area: 0.712090
epoch: 121, ocean area: 0.712090
