121 1
-122.00  16
-120.00  16
-118.00  16
-116.00  16
-114.00  16
-112.00  16
-110.00  16
-108.00  16
-106.00  16
-104.00  16
-102.00  16
-100.00  16
-98.00  16
-96.00  16
-94.00  16
-92.00  16
-90.00  16
-88.00  16
-86.00  16
-84.00  16
-82.00  16
-80.00  16
-78.00  16
-76.00  16
-74.00  16
-72.00  16
-70.00  16
-68.00  16
-66.00  16
-64.00  16
-62.00  16
-60.00  16
-58.00  16
-56.00  16
-54.00  16
-52.00  16
-50.00  16
-48.00  16
-46.00  16
-44.00  16
-42.00  16
-40.00  16
-38.00  16
-36.00  16
-34.00  16
-32.00  8
-31.00  8
-30.00  8
-29.00  8
-28.00  8
-27.00  8
-26.00  8
-25.00  8
-24.00  8
-23.00  8
-22.00  8
-21.00  4
-20.50  4
-20.00  4
-19.50  4
-19.00  4
-18.50  4
-18.00  4
-17.50  4
-17.00  4
-16.50  4
-16.00  4
-15.50  4
-15.00  2
-14.75  2
-14.50  2
-14.25  2
-14.00  2
-13.75  2
-13.50  2
-13.25  2
-13.00  2
-12.75  2
-12.50  2
-12.25  2
-12.00  2
-11.75  2
-11.50  2
-11.25  2
-11.00  2
-10.75  2
-10.50  2
-10.25  2
-10.00  2
-9.75  2
-9.50  2
-9.25  2
-9.00  2
-8.75  2
-8.50  2
-8.25  2
-8.00  4
-7.50  4
-7.00  4
-6.50  4
-6.00  4
-5.50  4
-5.00  4
-4.50  2
-4.25  2
-4.00  2
-3.75  2
-3.50  2
-3.25  2
-3.00  2
-2.75  2
-2.50  2
-2.25  2
-2.00  2
-1.75  2
-1.50  2
-1.25  2
-1.00  2
-0.75  2
-0.50  2
-0.25  2
-0.00  0
